status,name,url,local_file,note
EMBEDDED_PDF,"Bailey, D. H., & López de Prado, M. (2014). The Deflated Sharpe Ratio: Correcting for Selection Bias, Backtest Overfitting and Non-Normality.",https://www.davidhbailey.com/dhbpapers/deflated-sharpe.pdf,12_research_papers_and_docs/papers/Bailey_LopezDePrado_2014_DeflatedSharpeRatio.pdf,Backtest review; multiple-testing correction; Sharpe confidence controls.
EMBEDDED_PDF,"Bailey, D. H., Borwein, J. M., López de Prado, M., & Zhu, Q. J. (2015). The Probability of Backtest Overfitting.",https://www.davidhbailey.com/dhbpapers/backtest-prob.pdf,12_research_papers_and_docs/papers/Bailey_Borwein_LopezDePrado_Zhu_2015_ProbabilityBacktestOverfitting.pdf,"PBO, combinatorially symmetric cross-validation, and strategy-selection controls."
EMBEDDED_PDF,"Bailey, D. H., Ger, S., López de Prado, M., Sim, A., & Wu, K. (2014). Statistical Overfitting and Backtest Performance.",https://sdm.lbl.gov/oapapers/ssrn-id2507040-bailey.pdf,12_research_papers_and_docs/papers/Bailey_Ger_LopezDePrado_Sim_Wu_2014_StatisticalOverfittingBacktestPerformance.pdf,Research-process discipline; why repeated strategy search inflates apparent performance.
EMBEDDED_PDF,"Bailey, D. H., & López de Prado, M. (2012). The Sharpe Ratio Efficient Frontier.",https://www.davidhbailey.com/dhbpapers/sharpe-frontier.pdf,12_research_papers_and_docs/papers/Bailey_LopezDePrado_2012_SharpeRatioEfficientFrontier.pdf,Performance metric geometry and Sharpe frontier diagnostics.
EMBEDDED_PDF,"Harvey, C. R., Liu, Y., & Zhu, H. (2016). ... and the Cross-Section of Expected Returns. Review of Financial Studies.",https://people.duke.edu/~charvey/Research/Published_Papers/P118_and_the_cross.PDF,12_research_papers_and_docs/papers/Harvey_Liu_Zhu_2016_CrossSectionExpectedReturns.pdf,Factor discovery thresholds; multiple-comparison discipline for alpha mining.
EMBEDDED_PDF,"Lo, A. W., Mamaysky, H., & Wang, J. (2000). Foundations of Technical Analysis: Computational Algorithms, Statistical Inference, and Empirical Implementation.",https://www.cis.upenn.edu/~mkearns/teaching/cis700/lo.pdf,12_research_papers_and_docs/papers/Lo_Mamaysky_Wang_2000_FoundationsTechnicalAnalysis.pdf,Pattern-recognition baseline; technical-analysis validation without retail folklore.
EMBEDDED_PDF,"Brock, W., Lakonishok, J., & LeBaron, B. (1992). Simple Technical Trading Rules and the Stochastic Properties of Stock Returns.",https://finance.martinsewell.com/stylized-facts/dependence/BrockLakonishokLeBaron1992.pdf,12_research_papers_and_docs/papers/Brock_Lakonishok_LeBaron_1992_SimpleTechnicalTradingRules.pdf,Baseline moving-average and trading-range-rule tests; benchmark for indicator systems.
EMBEDDED_PDF,"Cont, R. (2001). Empirical Properties of Asset Returns: Stylized Facts and Statistical Issues.",https://finance.martinsewell.com/stylized-facts/dependence/Cont2001.pdf,12_research_papers_and_docs/papers/Cont_2001_EmpiricalPropertiesAssetReturns_FULL.pdf,"Return-distribution constraints: fat tails, volatility clustering, nonlinear dependence."
EMBEDDED_PDF,"Ratliff-Crain, E., Van Oort, C. M., Bagrow, J., Koehler, M. T. K., & Tivnan, B. F. (2023). Revisiting Cont's Stylized Facts for Modern Stock Markets.",https://arxiv.org/pdf/2311.07738,12_research_papers_and_docs/papers/RatliffCrain_VanOort_Bagrow_Koehler_Tivnan_2023_RevisitingStylizedFacts.pdf,Modern sanity check for stylized facts using contemporary intraday equity data.
EMBEDDED_PDF,"López de Prado, M. (2015). Tactical Investment Algorithms.",https://caia.org/sites/default/files/tactical.pdf,12_research_papers_and_docs/papers/LopezDePrado_2015_TacticalInvestmentAlgorithms.pdf,"Path-dependent trade management, profit-taking, stop-loss, and OU-style tactical logic."
EMBEDDED_PDF,"López de Prado, M. (2025). Causality and Factor Investing: A Primer. CFA Institute Research Foundation.",https://rpc.cfainstitute.org/sites/default/files/docs/research-reports/rf_lopezdeprado_causalityprimer_online.pdf,12_research_papers_and_docs/papers/LopezDePrado_2025_CausalityFactorInvestingPrimer.pdf,Causal thinking for factor research; prevents correlation-only alpha narratives.
EMBEDDED_PDF,"Riondato, M. (2018). Sharpe Ratio: Estimation, Confidence Intervals, and Applications. Two Sigma.",https://www.twosigma.com/wp-content/uploads/sharpe-tr-1.pdf,12_research_papers_and_docs/papers/TwoSigma_Riondato_2018_SharpeRatioStatisticsApplications.pdf,Implementation-friendly Sharpe estimation and confidence intervals.
EMBEDDED_PDF,CRAN pbo package manual. Probability of Backtest Overfitting.,https://cran.r-project.org/web/packages/pbo/pbo.pdf,12_research_papers_and_docs/papers/CRAN_2026_PBO_PackageManual.pdf,Reference implementation notes for PBO-style diagnostics.
EMBEDDED_PDF,"Peterson, B. G. (2015). Developing & Backtesting Systematic Trading Strategies.",https://braverock.com/brian/strat_dev_process.pdf,12_research_papers_and_docs/papers/Peterson_2015_DevelopingBacktestingSystematicTradingStrategies.pdf,Practitioner process for strategy development and backtesting workflow.
EMBEDDED_PDF,"Peterson, B. G. (2023). Design and Analysis of (Backtest) Experiments.",https://rinfinance.s3.amazonaws.com/past.rinfinance.com/agenda/2023/BrianPeterson.pdf,12_research_papers_and_docs/papers/Peterson_2023_DesignAnalysisBacktestExperiments.pdf,Experiment-design framing for backtests and parameter search.
EMBEDDED_PDF,"Liu, X.-Y., Yang, H., Chen, Q., Zhang, R., Yang, L., Xiao, B., & Wang, C. D. (2020). FinRL: A Deep Reinforcement Learning Library for Automated Stock Trading in Quantitative Finance.",https://arxiv.org/pdf/2011.09607,12_research_papers_and_docs/papers/Liu_Yang_Chen_Zhang_Yang_Xiao_Wang_2020_FinRL.pdf,Reference architecture for DRL trading pipelines and reproducibility constraints.
EMBEDDED_PDF,"Yang, H., Liu, X.-Y., Zhong, S., & Walid, A. (2018). Practical Deep Reinforcement Learning Approach for Stock Trading.",https://arxiv.org/pdf/1811.07522,12_research_papers_and_docs/papers/Yang_Liu_Zhong_Walid_2018_PracticalDeepRLStockTrading.pdf,Epoch-learning and DRL experiment structure; useful but must be heavily validated.
EMBEDDED_PDF,"Jiang, Z., Xu, D., & Liang, J. (2017). A Deep Reinforcement Learning Framework for the Financial Portfolio Management Problem.",https://arxiv.org/pdf/1706.10059,12_research_papers_and_docs/papers/Jiang_Xu_Liang_2017_DRLPortfolioManagement.pdf,"Portfolio-vector memory, online stochastic batch learning, and portfolio reward framing."
