status,file,relative_path,citation,source_url,pages,size_bytes,pdf_header,sha256,use
EMBEDDED_PDF,Bailey_LopezDePrado_2014_DeflatedSharpeRatio.pdf,12_research_papers_and_docs/papers/Bailey_LopezDePrado_2014_DeflatedSharpeRatio.pdf,"Bailey, D. H., & López de Prado, M. (2014). The Deflated Sharpe Ratio: Correcting for Selection Bias, Backtest Overfitting and Non-Normality.",https://www.davidhbailey.com/dhbpapers/deflated-sharpe.pdf,22,1048118,%PDF-,ca4a1e834a2954b84eb560776e903329cd9cef318d458aadf6d67bc8166d10b5,Backtest review; multiple-testing correction; Sharpe confidence controls.
EMBEDDED_PDF,Bailey_Borwein_LopezDePrado_Zhu_2015_ProbabilityBacktestOverfitting.pdf,12_research_papers_and_docs/papers/Bailey_Borwein_LopezDePrado_Zhu_2015_ProbabilityBacktestOverfitting.pdf,"Bailey, D. H., Borwein, J. M., López de Prado, M., & Zhu, Q. J. (2015). The Probability of Backtest Overfitting.",https://www.davidhbailey.com/dhbpapers/backtest-prob.pdf,34,1145522,%PDF-,d8bfbadaaedb430d9dec929646d92f3580fdf18238f34121ae7738fa1c69a63d,"PBO, combinatorially symmetric cross-validation, and strategy-selection controls."
EMBEDDED_PDF,Bailey_Ger_LopezDePrado_Sim_Wu_2014_StatisticalOverfittingBacktestPerformance.pdf,12_research_papers_and_docs/papers/Bailey_Ger_LopezDePrado_Sim_Wu_2014_StatisticalOverfittingBacktestPerformance.pdf,"Bailey, D. H., Ger, S., López de Prado, M., Sim, A., & Wu, K. (2014). Statistical Overfitting and Backtest Performance.",https://sdm.lbl.gov/oapapers/ssrn-id2507040-bailey.pdf,10,681005,%PDF-,81f7f2cbcc1dec248894ec5b8afcdfafd1250ea2d213704796fefaf4903e7c1b,Research-process discipline; why repeated strategy search inflates apparent performance.
EMBEDDED_PDF,Bailey_LopezDePrado_2012_SharpeRatioEfficientFrontier.pdf,12_research_papers_and_docs/papers/Bailey_LopezDePrado_2012_SharpeRatioEfficientFrontier.pdf,"Bailey, D. H., & López de Prado, M. (2012). The Sharpe Ratio Efficient Frontier.",https://www.davidhbailey.com/dhbpapers/sharpe-frontier.pdf,46,2210618,%PDF-,7a756315dc645e343f9b619a727adbd10fde7347af14ae7000bdf3c99397b0e5,Performance metric geometry and Sharpe frontier diagnostics.
EMBEDDED_PDF,Harvey_Liu_Zhu_2016_CrossSectionExpectedReturns.pdf,12_research_papers_and_docs/papers/Harvey_Liu_Zhu_2016_CrossSectionExpectedReturns.pdf,"Harvey, C. R., Liu, Y., & Zhu, H. (2016). ... and the Cross-Section of Expected Returns. Review of Financial Studies.",https://people.duke.edu/~charvey/Research/Published_Papers/P118_and_the_cross.PDF,64,969629,%PDF-,15e407e31867dcd5bae6cf843200a85d1409180e1340322554ab3fcf88fb13bf,Factor discovery thresholds; multiple-comparison discipline for alpha mining.
EMBEDDED_PDF,Lo_Mamaysky_Wang_2000_FoundationsTechnicalAnalysis.pdf,12_research_papers_and_docs/papers/Lo_Mamaysky_Wang_2000_FoundationsTechnicalAnalysis.pdf,"Lo, A. W., Mamaysky, H., & Wang, J. (2000). Foundations of Technical Analysis: Computational Algorithms, Statistical Inference, and Empirical Implementation.",https://www.cis.upenn.edu/~mkearns/teaching/cis700/lo.pdf,61,8035551,%PDF-,3dd89a38bb1ceeef4e7c80dd58db8d88f150dfd443d04a6542cb963d72a4dd8e,Pattern-recognition baseline; technical-analysis validation without retail folklore.
EMBEDDED_PDF,Brock_Lakonishok_LeBaron_1992_SimpleTechnicalTradingRules.pdf,12_research_papers_and_docs/papers/Brock_Lakonishok_LeBaron_1992_SimpleTechnicalTradingRules.pdf,"Brock, W., Lakonishok, J., & LeBaron, B. (1992). Simple Technical Trading Rules and the Stochastic Properties of Stock Returns.",https://finance.martinsewell.com/stylized-facts/dependence/BrockLakonishokLeBaron1992.pdf,35,3728493,%PDF-,618246ce0c5b60049bd1f669cc6bd51186a7d2a7cad11f2881b6be9ffc6d92c8,Baseline moving-average and trading-range-rule tests; benchmark for indicator systems.
EMBEDDED_PDF,Cont_2001_EmpiricalPropertiesAssetReturns_FULL.pdf,12_research_papers_and_docs/papers/Cont_2001_EmpiricalPropertiesAssetReturns_FULL.pdf,"Cont, R. (2001). Empirical Properties of Asset Returns: Stylized Facts and Statistical Issues.",https://finance.martinsewell.com/stylized-facts/dependence/Cont2001.pdf,14,295358,%PDF-,7a21b8f88ce1d779ef3174953557e2713accc8a4d6016cc8edd2128d1571e9b7,"Return-distribution constraints: fat tails, volatility clustering, nonlinear dependence."
EMBEDDED_PDF,RatliffCrain_VanOort_Bagrow_Koehler_Tivnan_2023_RevisitingStylizedFacts.pdf,12_research_papers_and_docs/papers/RatliffCrain_VanOort_Bagrow_Koehler_Tivnan_2023_RevisitingStylizedFacts.pdf,"Ratliff-Crain, E., Van Oort, C. M., Bagrow, J., Koehler, M. T. K., & Tivnan, B. F. (2023). Revisiting Cont's Stylized Facts for Modern Stock Markets.",https://arxiv.org/pdf/2311.07738,31,2640164,%PDF-,b496e23411069a9643fcc75ed3ccbf680d6da48196486454e2d8489bf53200fb,Modern sanity check for stylized facts using contemporary intraday equity data.
EMBEDDED_PDF,LopezDePrado_2015_TacticalInvestmentAlgorithms.pdf,12_research_papers_and_docs/papers/LopezDePrado_2015_TacticalInvestmentAlgorithms.pdf,"López de Prado, M. (2015). Tactical Investment Algorithms.",https://caia.org/sites/default/files/tactical.pdf,5,958658,%PDF-,8e5f719891c02ea00bb969dcbf5b4b53bb8911f483292670111e55a22ace60ac,"Path-dependent trade management, profit-taking, stop-loss, and OU-style tactical logic."
