timestamp,symbol,open,high,low,close,volume
2026-01-01T00:00:00,SPY,470,472.44,468.42,470.84,10012654
2026-01-02T00:00:00,SPY,470.84,472.52,468.68,471.48,10509569
2026-01-03T00:00:00,SPY,471.48,473.34,469.84,472.6,11482154
2026-01-04T00:00:00,SPY,472.6,475.93,470.81,473.71,8284211
2026-01-05T00:00:00,SPY,473.71,475.04,472.64,474.1,11118116
2026-01-06T00:00:00,SPY,474.1,476.1,472.78,475.15,11930452
2026-01-07T00:00:00,SPY,475.15,477.82,473.27,476.24,10148014
2026-01-08T00:00:00,SPY,476.24,477.44,474.73,475.84,11649207
2026-01-09T00:00:00,SPY,475.84,478.69,473.96,478.09,8623476
2026-01-10T00:00:00,SPY,478.09,480.1,476.18,479.44,9200762
2026-01-11T00:00:00,SPY,479.44,480.64,478.42,479.83,8808185
2026-01-12T00:00:00,SPY,479.83,482.51,479.01,480.55,10972659
2026-01-13T00:00:00,SPY,480.55,482.26,479.4,481.14,11538568
2026-01-14T00:00:00,SPY,481.14,484.93,479.24,482.59,10289267
2026-01-15T00:00:00,SPY,482.59,483.22,481.43,482.71,8388680
2026-01-16T00:00:00,SPY,482.71,483.63,480.97,483.04,8498793
2026-01-17T00:00:00,SPY,483.04,483.84,481.54,482.3,11683179
2026-01-18T00:00:00,SPY,482.3,483.19,479.79,480.48,11554703
2026-01-19T00:00:00,SPY,480.48,481.1,477.26,478.85,11230864
2026-01-20T00:00:00,SPY,478.85,479.77,477.81,478.88,8467798
2026-01-21T00:00:00,SPY,478.88,479.52,475.12,477.17,10545002
2026-01-22T00:00:00,SPY,477.17,480.07,475.13,478.46,9946376
2026-01-23T00:00:00,SPY,478.46,479.15,477.81,478.61,10841885
2026-01-24T00:00:00,SPY,478.61,480.21,478.02,479.71,11712236
2026-01-25T00:00:00,SPY,479.71,481.25,477.84,479.43,9896460
2026-01-26T00:00:00,SPY,479.43,480.5,475.38,477.74,11898360
2026-01-27T00:00:00,SPY,477.74,480.02,475.75,476.26,8365482
2026-01-28T00:00:00,SPY,476.26,477.46,472.89,474.61,9745831
2026-01-29T00:00:00,SPY,474.61,476.12,471.48,473.69,11689671
2026-01-30T00:00:00,SPY,473.69,477.35,473.07,475.19,11803691
2026-01-01T00:00:00,QQQ,410,411.91,406.48,408.51,8370252
2026-01-02T00:00:00,QQQ,408.51,410.35,406.23,407.73,8653526
2026-01-03T00:00:00,QQQ,407.73,408.46,405.68,406.54,9251532
2026-01-04T00:00:00,QQQ,406.54,408.37,405.73,406.29,8724020
2026-01-05T00:00:00,QQQ,406.29,408.46,405.5,406.61,9213217
2026-01-06T00:00:00,QQQ,406.61,407.82,405.93,407.39,10786732
2026-01-07T00:00:00,QQQ,407.39,407.86,405.3,406.28,11029449
2026-01-08T00:00:00,QQQ,406.28,408.19,405.39,406.63,10073781
2026-01-09T00:00:00,QQQ,406.63,409.92,405.69,408.32,10186417
2026-01-10T00:00:00,QQQ,408.32,408.87,405.95,407.49,9661702
2026-01-11T00:00:00,QQQ,407.49,410.1,406.59,408.59,9550873
2026-01-12T00:00:00,QQQ,408.59,411.02,406.66,409.26,11884918
2026-01-13T00:00:00,QQQ,409.26,411.18,406.7,408.12,8498892
2026-01-14T00:00:00,QQQ,408.12,410.37,407.66,408.94,9325890
2026-01-15T00:00:00,QQQ,408.94,411.57,407.89,409.7,11960754
2026-01-16T00:00:00,QQQ,409.7,410.86,409.0,410.43,8382751
2026-01-17T00:00:00,QQQ,410.43,411.84,407.7,409.56,10235806
2026-01-18T00:00:00,QQQ,409.56,410.55,406.77,408.63,9267622
2026-01-19T00:00:00,QQQ,408.63,410.27,406.99,407.47,9032677
2026-01-20T00:00:00,QQQ,407.47,408.71,405.47,405.92,9594556
2026-01-21T00:00:00,QQQ,405.92,407.23,404.34,405.11,9403257
2026-01-22T00:00:00,QQQ,405.11,407.08,403.97,405.05,10757346
2026-01-23T00:00:00,QQQ,405.05,406.97,403.4,404.82,9157910
2026-01-24T00:00:00,QQQ,404.82,406.43,403.99,404.87,10181349
2026-01-25T00:00:00,QQQ,404.87,406.37,404.32,405.49,9700255
2026-01-26T00:00:00,QQQ,405.49,405.96,404.77,405.44,11628306
2026-01-27T00:00:00,QQQ,405.44,408.34,404.37,406.56,11099754
2026-01-28T00:00:00,QQQ,406.56,407.88,405.54,407.38,8955296
2026-01-29T00:00:00,QQQ,407.38,408.22,404.5,406.2,9399757
2026-01-30T00:00:00,QQQ,406.2,407.05,404.8,406.25,9191732
